"name","price","rating","review_count","genres","install_count"
"JW Library","0",4.9,922752,"Books & Reference","10,000,000+"
"Six Pack in 30 Days - Abs Workout","0",4.9,272337,"Health & Fitness","10,000,000+"
"Six Pack in 30 Days - Abs Workout","0",4.9,272172,"Health & Fitness","10,000,000+"
"Tickets + PDA 2018 Exam","0",4.9,197136,"Auto & Vehicles","1,000,000+"
"Learn Japanese, Korean, Chinese Offline & Free","0",4.9,133136,"Education;Education","1,000,000+"
"Period Tracker","0",4.9,100082,"Medical","1,000,000+"
"StrongLifts 5x5 Workout Gym Log & Personal Trainer","0",4.9,66791,"Health & Fitness","1,000,000+"
"PixPanda - Color by Number Pixel Art Coloring Book","0",4.9,55723,"Entertainment","1,000,000+"
"ipsy: Makeup, Beauty, and Tips","0",4.9,49790,"Beauty","1,000,000+"
"Hungry Hearts Diner: A Tale of Star-Crossed Souls","0",4.9,46253,"Simulation","500,000+"
"Lose Belly Fat in 30 Days - Flat Stomach","0",4.9,38098,"Health & Fitness","5,000,000+"
"Solitaire: Decked Out Ad Free","0",4.9,37302,"Card","500,000+"
"Down Dog: Great Yoga Anywhere","0",4.9,28945,"Health & Fitness","500,000+"
"The Room: Old Sins","$4.99 ",4.9,21119,"Puzzle","100,000+"
"FC Porto","0",4.9,15883,"Sports","100,000+"
"Tickets SDA 2018 and Exam from the State Traffic Safety Inspectorate with Drom.ru","0",4.9,10479,"Auto & Vehicles","100,000+"
