name,price,rating,review_count,genres,install_count
Pixyfy: coloring by number coloring book,0,4.8,22290,Puzzle,"500,000+"
Down Dog: Great Yoga Anywhere,0,4.9,28945,Health & Fitness,"500,000+"
Hungry Hearts Diner: A Tale of Star-Crossed Souls,0,4.9,46253,Simulation,"500,000+"
Find a Way: Addictive Puzzle,0,4.8,39480,Puzzle,"500,000+"
OnePlus Icon Pack,0,4.8,440,Personalization,"500,000+"
Solitaire: Decked Out Ad Free,0,4.9,37302,Card,"500,000+"
German Listening,0,4.8,18298,Education,"500,000+"
Tickets SDA 2019 + Exam RF,0,4.8,7021,Auto & Vehicles,"500,000+"
Stop Smoking - EasyQuit free,0,4.8,39068,Health & Fitness,"500,000+"
Al Quran (Tafsir & by Word),0,4.8,57400,Books & Reference,"500,000+"
English Grammar Test,0,4.8,4075,Education,"500,000+"
Be My Eyes - Helping the blind,0,4.9,8418,Lifestyle,"500,000+"
Online Girls Chat,0,4.8,5323,Dating,"50,000+"
SarashpazPapion (Cooking with Chef Bowls),0,4.8,1250,Food & Drink,"50,000+"
Undertale AU Amino,0,4.8,5369,Social,"50,000+"
Cardi B Wallpaper,0,4.8,253,Art & Design,"50,000+"
Unicorn Pokez - Color By Number,0,4.8,516,Comics;Creativity,"50,000+"
CompTIA Exam Training,0,4.8,3053,Education,"50,000+"
Anime et Manga Amino en Français,0,4.8,3782,Social,"50,000+"
Elif Ba - Learn The Holy Quran,0,4.8,1491,Education,"50,000+"
eBoox new: Reader for fb2 epub zip books,0,4.9,2739,Books & Reference,"50,000+"
EXO-L Amino for EXO Fans,0,4.9,5677,Social,"50,000+"
FREE LIVE TALK,0,4.9,776,Dating,"5,000+"
Firefighters First CU,0,4.8,495,Finance,"5,000+"
Morse Machine for Ham Radio,$0.99 ,4.8,341,Communication,"5,000+"
C Prowess,0,4.8,306,Education,"5,000+"
Lose Belly Fat in 30 Days - Flat Stomach,0,4.9,38098,Health & Fitness,"5,000,000+"
"Fines of the State Traffic Safety Inspectorate are official: inspection, payment of fines",0,4.8,116986,Auto & Vehicles,"5,000,000+"
7 minute abs workout - Daily Ab Workout,0,4.8,527,Health & Fitness,"100,000+"
CDL Practice Test 2018 Edition,0,4.9,7774,Auto & Vehicles,"100,000+"
DMV Permit Practice Test 2018 Edition,0,4.9,6090,Auto & Vehicles,"100,000+"
PDD-UA,0,4.8,736,Auto & Vehicles,"100,000+"
Tiny Scanner Pro: PDF Doc Scan,$4.99 ,4.8,10295,Business,"100,000+"
Tiny Scanner Pro: PDF Doc Scan,$4.99 ,4.8,10295,Business,"100,000+"
"Even - organize your money, get paid early",0,4.8,12304,Finance,"100,000+"
Relax Melodies P: Sleep Sounds,$2.99 ,4.8,19543,Health & Fitness,"100,000+"
"Viva Decora - Decoration, Photos, Architecture, House",0,4.8,3167,House & Home,"100,000+"
The Room: Old Sins,$4.99 ,4.9,21119,Puzzle,"100,000+"
Fuzzy Seasons: Animal Forest,0,4.8,12137,Simulation;Pretend Play,"100,000+"
VitusVet: Pet Health Care App,0,4.8,3052,Medical,"100,000+"
The 5th Stand,0,4.8,1664,Sports,"100,000+"
White Noise for Baby,0,4.9,717,Parenting,"100,000+"
The first year of a baby's life,0,4.8,7505,Parenting,"100,000+"
Rainbow - Journal & Activities,0,4.8,6668,Parenting,"100,000+"
Classical music for baby,0,4.8,1940,Parenting;Music & Video,"100,000+"
