"name","price","review_count","rating","primary_genre"
"Sniper Shooter: Gun Shooting Games",0,134080,"5.0","Games"
"Iron Force",0,141634,"5.0","Games"
"The Room",1,143908,"5.0","Games"
"Plants vs. Zombies HD",1,163598,"5.0","Games"
"Pictoword: Fun 2 Pics Guess What's the Word Trivia",0,186089,"5.0","Games"
"CSR Racing 2",0,257100,"5.0","Games"
"Infinity Blade",1,326482,"5.0","Games"
"Geometry Dash Lite",0,370370,"5.0","Games"
"Sniper 3D Assassin: Shoot to Kill Gun Game",0,386521,"5.0","Games"
"Plants vs. Zombies",1,426463,"5.0","Games"
"Head Soccer",0,481564,"5.0","Games"
"MLB.com Home Run Derby 17",0,100035,"4.5","Games"
"Family Guy: The Quest for Stuff",0,104060,"4.5","Games"
"ZigZag",0,104502,"4.5","Games"
"⋆Solitaire",0,106398,"4.5","Games"
"Angry Birds Transformers",0,106434,"4.5","Games"
"Cooking Fever",0,107797,"4.5","Games"
"Hill Climb Racing",0,108183,"4.5","Games"
"Fairway Solitaire Blast",0,110062,"4.5","Games"
"Monster Legends RPG - War, Fight & Heroes Game",0,111579,"4.5","Games"
"Big Fish Casino – Best Vegas Slot Machines & Games",0,113959,"4.5","Games"
"Sky Burger - Build & Match Food Free",0,114096,"4.5","Games"
"MORTAL KOMBAT X",0,114475,"4.5","Games"
"Village Life: Love, Marriage and Babies",0,116620,"4.5","Games"
"Beat the Boss 2",0,117338,"4.5","Games"
